,home_or_away,avgGoalDif,avgHF,winStreak,avgPPG,daysSinceLast,win
244,0,1.25,19.625,1.0,1.5,2.0,True
245,1,0.0,0.0,0.0,0.0,0.0,False
246,0,0.0,0.0,0.0,0.0,4.0,True
247,0,0.0,0.0,1.0,0.0,2.0,False
248,0,0.0,0.0,0.0,0.0,1.0,False
249,0,0.0,0.0,0.0,0.0,2.0,True
250,1,0.0,0.0,1.0,0.0,3.0,False
251,1,0.0,0.0,0.0,0.0,2.0,True
252,1,0.0,0.0,1.0,0.0,2.0,True
253,0,0.0,21.875,2.0,1.0,3.0,False
254,1,-0.125,20.875,0.0,1.0,1.0,False
255,1,-0.625,21.75,0.0,0.75,3.0,True
256,0,-0.125,23.125,1.0,1.0,3.0,True
257,0,0.625,21.75,2.0,1.25,2.0,False
258,0,0.0,22.625,0.0,1.0,1.0,False
259,0,0.375,22.375,0.0,1.0,2.0,True
260,0,0.375,22.75,1.0,1.0,4.0,True
261,0,0.375,21.625,2.0,1.0,1.0,False
262,1,0.375,20.25,0.0,1.0,2.0,True
263,1,1.125,19.375,1.0,1.25,3.0,False
264,1,0.25,19.625,0.0,1.0,4.0,True
265,0,-0.125,21.25,1.0,1.0,3.0,True
266,0,0.75,21.125,2.0,1.25,2.0,True
267,0,1.5,22.375,3.0,1.5,1.0,True
268,1,1.125,21.75,4.0,1.5,3.0,True
269,1,1.375,21.75,5.0,1.5,2.0,False
270,1,1.375,23.875,0.0,1.5,3.0,True
271,1,1.5,23.375,1.0,1.5,2.0,True
272,0,2.75,22.25,2.0,1.75,2.0,False
273,0,2.625,22.75,0.0,1.5,2.0,True
274,0,2.625,23.375,1.0,1.5,3.0,False
275,0,2.0,22.625,0.0,1.25,2.0,False
276,0,1.75,22.0,0.0,1.0,2.0,True
277,1,1.625,22.125,1.0,1.0,2.0,True
278,1,2.25,22.375,2.0,1.25,2.0,True
279,1,2.0,24.25,3.0,1.25,2.0,False
280,1,1.0,25.75,0.0,1.0,3.0,True
281,0,1.25,24.5,1.0,1.25,2.0,True
282,0,1.0,24.875,2.0,1.25,1.0,True
283,0,1.375,24.125,3.0,1.5,2.0,False
284,1,1.125,24.875,0.0,1.5,2.0,False
285,1,0.875,23.75,0.0,1.25,2.0,True
286,0,0.75,22.75,1.0,1.25,3.0,True
287,0,0.625,21.625,2.0,1.25,2.0,False
288,0,0.75,20.375,0.0,1.25,1.0,False
289,0,0.5,21.875,0.0,1.0,2.0,True
290,1,0.5,20.875,1.0,1.0,3.0,False
291,1,-0.125,20.5,0.0,0.75,2.0,False
292,1,0.25,21.25,0.0,0.75,4.0,True
293,1,0.375,23.0,1.0,1.0,3.0,False
294,1,0.0,22.375,0.0,0.75,7.0,True
295,1,0.0,23.5,1.0,0.75,2.0,False
296,0,0.125,24.0,0.0,0.75,2.0,False
297,0,0.125,22.25,0.0,0.75,3.0,False
298,0,0.0,21.75,0.0,0.5,2.0,True
299,0,0.625,22.625,1.0,0.75,2.0,False
300,1,0.625,20.75,0.0,0.75,2.0,False
301,1,0.5,20.375,0.0,0.5,2.0,True
302,1,0.75,22.0,1.0,0.75,3.0,True
303,0,1.125,20.125,2.0,0.75,1.0,True
304,0,1.5,18.625,3.0,1.0,2.0,False
305,0,1.25,18.625,0.0,1.0,2.0,False
306,0,1.25,18.5,0.0,1.0,1.0,True
307,0,1.0,19.5,1.0,1.0,2.0,False
308,0,0.875,19.75,0.0,1.0,2.0,False
309,1,0.875,20.125,0.0,1.0,2.0,True
